ID,Day,Trail1,Trail2, Group,,,
SC09,2,51,10,SNr-DTA,,,
SC09,3,9,4,SNr-DTA,,,
SC09,4,2,10,SNr-DTA,,,
SC09,5,2,5,SNr-DTA,,,
SC10,2,23,8,SNr-DTA,,,
SC10,3,33,27,SNr-DTA,,,
SC10,4,8,11,SNr-DTA,,,
SC10,5,3,19,SNr-DTA,,,
SC11,2,20,49,SNr-DTA,,,
SC11,3,19,12,SNr-DTA,,,
SC11,4,4,10,SNr-DTA,,,
SC11,5,3,3,SNr-DTA,,,
SC12,2,22,5,SNr-DTA,,,
SC12,3,15,2,SNr-DTA,,,
SC12,4,12,2,SNr-DTA,,,
SC12,5,4,1,SNr-DTA,,,
SC13,2,32,4,Ctrl,,,
SC13,3,16,2,Ctrl,,,
SC13,4,21,2,Ctrl,,,
SC13,5,6,2,Ctrl,,,
SC14,2,15,20,Ctrl,,,
SC14,3,5,1,Ctrl,,,
SC14,4,6,2,Ctrl,,,
SC14,5,3,1,Ctrl,,,
SC15,2,44,4,Ctrl,,,
SC15,3,13,2,Ctrl,,,
SC15,4,6,3,Ctrl,,,
SC15,5,3,2,Ctrl,,,
