ID,Day,Trail1,Trail2, Group,,,
SC09,2,73,7,SNr-DTA,,,
SC09,3,7.5,2,SNr-DTA,,,
SC09,4,2,9.5,SNr-DTA,,,
SC09,5,4.5,3.5,SNr-DTA,,,
SC10,2,62,18,SNr-DTA,,,
SC10,3,52,49,SNr-DTA,,,
SC10,4,47.5,13.5,SNr-DTA,,,
SC10,5,15.5,15,SNr-DTA,,,
SC11,2,32.5,11.5,SNr-DTA,,,
SC11,3,52,47.5,SNr-DTA,,,
SC11,4,14,2,SNr-DTA,,,
SC11,5,8.5,1.5,SNr-DTA,,,
SC12,2,8.5,8,SNr-DTA,,,
SC12,3,6,10.5,SNr-DTA,,,
SC12,4,18,15,SNr-DTA,,,
SC12,5,10,6.5,SNr-DTA,,,
SC13,2,71,15,Ctrl,,,
SC13,3,3.5,6,Ctrl,,,
SC13,4,14,10,Ctrl,,,
SC13,5,9,14,Ctrl,,,
SC14,2,12.5,29,Ctrl,,,
SC14,3,2,5.5,Ctrl,,,
SC14,4,6.5,4.5,Ctrl,,,
SC14,5,10.5,3.5,Ctrl,,,
SC15,2,28,2.5,Ctrl,,,
SC15,3,7,3,Ctrl,,,
SC15,4,2.5,7,Ctrl,,,
SC15,5,5.5,3,Ctrl,,,
